	NRxnMetInHMR2	NRxnMetInList	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c]	16.0000	6.0000	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[m]	2.0000	2.0000	
(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[r]	3.0000	1.0000	
(8Z,11Z)-eicosadienoylcarnitine[c]	3.0000	3.0000	
(8Z,11Z)-eicosadienoylcarnitine[m]	2.0000	2.0000	
(8Z,11Z)-eicosadienoylcarnitine[r]	2.0000	1.0000	
(8Z,11Z)-eicosadienoyl-CoA[c]	15.0000	6.0000	
(8Z,11Z)-eicosadienoyl-CoA[m]	2.0000	1.0000	
(8Z,11Z)-eicosadienoyl-CoA[r]	3.0000	1.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[c]	3.0000	3.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[m]	2.0000	2.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine[r]	2.0000	1.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c]	16.0000	7.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[m]	2.0000	1.0000	
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[r]	3.0000	1.0000	
(9E)-octadecenoylcarnitine[c]	3.0000	2.0000	
(9E)-octadecenoylcarnitine[m]	2.0000	2.0000	
(9E)-octadecenoylcarnitine[r]	2.0000	0.0000	
(9E)-octadecenoyl-CoA[c]	14.0000	5.0000	
(9E)-octadecenoyl-CoA[m]	2.0000	2.0000	
(9E)-octadecenoyl-CoA[r]	3.0000	1.0000	
(9E)-tetradecenoic acid[c]	13.0000	4.0000	
(9E)-tetradecenoic acid[l]	2.0000	0.0000	
(9E)-tetradecenoic acid[r]	3.0000	1.0000	
(9E)-tetradecenoic acid[s]	5.0000	2.0000	
(9E)-tetradecenoyl-CoA[c]	14.0000	5.0000	
(9E)-tetradecenoyl-CoA[m]	2.0000	2.0000	
(9E)-tetradecenoyl-CoA[r]	3.0000	1.0000	
(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine[c]	2.0000	2.0000	
(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine[r]	2.0000	1.0000	
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c]	16.0000	6.0000	
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[p]	2.0000	1.0000	
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[r]	3.0000	1.0000	
(9Z,12Z,15Z,18Z)-TTA[c]	13.0000	4.0000	
(9Z,12Z,15Z,18Z)-TTA[l]	2.0000	0.0000	
(9Z,12Z,15Z,18Z)-TTA[r]	3.0000	1.0000	
(9Z,12Z,15Z,18Z)-TTA[s]	5.0000	2.0000	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine[c]	2.0000	2.0000	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoylcarnitine[r]	2.0000	1.0000	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c]	16.0000	7.0000	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[p]	2.0000	1.0000	
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[r]	3.0000	1.0000	
(9Z,12Z,15Z,18Z,21Z)-TPA[c]	13.0000	4.0000	
(9Z,12Z,15Z,18Z,21Z)-TPA[l]	2.0000	0.0000	
(9Z,12Z,15Z,18Z,21Z)-TPA[r]	3.0000	1.0000	
(9Z,12Z,15Z,18Z,21Z)-TPA[s]	5.0000	2.0000	
(ADP-D-ribosyl)n+1-acceptor[c]	1.0000	0.0000	
(ADP-D-ribosyl)n-acceptor[c]	1.0000	0.0000	
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	2.0000	0.0000	
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	5.0000	0.0000	
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	2.0000	0.0000	
(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	3.0000	0.0000	
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	2.0000	0.0000	
(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r]	3.0000	0.0000	
(alpha-D-mannosyl)2-beta-D-mannosyl-N-acetylglucosamine[l]	4.0000	0.0000	
(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[g]	4.0000	0.0000	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)[g]	4.0000	0.0000	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)[g]	2.0000	0.0000	
(alpha-D-mannosyl)5-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)[g]	3.0000	0.0000	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (A)[g]	2.0000	0.0000	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B1)[g]	2.0000	0.0000	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (B2)[g]	4.0000	0.0000	
(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein) (C)[g]	4.0000	0.0000	
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)[g]	6.0000	0.0000	
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)[g]	3.0000	0.0000	
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)[r]	2.0000	0.0000	
